기관명,구,동,요양종별,진료시간(월요일)S,진료시간(월요일)C,진료시간(화요일)S,진료시간(화요일)C,진료시간(수요일)S,진료시간(수요일)C,진료시간(목요일)S,진료시간(목요일)C,진료시간(금요일)S,진료시간(금요일)C,진료시간(토요일)S,진료시간(토요일)C,진료시간(일요일)S,진료시간(일요일)C,진료시간(공휴일)S,진료시간(공휴일)C,경도,위도,전화번호,야간진료여부
수락신경외과의원,노원구,상계동,의원,920.0,1730.0,920.0,1730.0,920.0,1730.0,920.0,1730.0,920.0,1730.0,1030.0,1530.0,1000.0,1700.0,900.0,1700.0,127.0584242925,37.6535030508,02-3392-4582,False
수민의원,강북구,번동,의원,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1400.0,1000.0,1700.0,900.0,1700.0,127.03179996208785,37.63647742861652,02-905-4924,False
수서가정의학과의원,강남구,수서동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1300.0,900.0,1700.0,930.0,1630.0,127.099765336108,37.4921394490477,02-459-6688,False
수서서울이비인후과의원,강남구,수서동,의원,800.0,1930.0,800.0,1930.0,800.0,1930.0,800.0,1930.0,800.0,1930.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,127.101844450006,37.4880244867416,02-445-9224,True
수아로피부과의원,강남구,세곡동,의원,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,2000.0,900.0,1400.0,900.0,1400.0,930.0,1400.0,127.1012277905,37.4657532384,02-445-5940,True
수아산부인과의원,중랑구,면목동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1500.0,900.0,1400.0,930.0,1400.0,127.08870425169998,37.58131503849999,02-495-3717,True
수앤정소아청소년과의원,강남구,자곡동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1500.0,1000.0,1300.0,1000.0,1300.0,127.09650197914816,37.472147158858526,02-459-8875,True
수운내과의원,동대문구,청량리동,의원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1230.0,1000.0,1300.0,930.0,1300.0,127.0415747092,37.58685152,02-965-3263,False
수유탑정형외과의원,강북구,미아동,의원,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1400.0,900.0,1300.0,900.0,1300.0,127.024183150799,37.6304575879472,02-980-1000,True
수이비인후과의원,송파구,문정동,의원,830.0,1800.0,830.0,2000.0,830.0,1800.0,830.0,2000.0,830.0,1800.0,830.0,1300.0,1000.0,1100.0,900.0,1200.0,127.128115114986,37.4827763186151,02-402-0133,True
수이비인후과의원,동대문구,장안동,의원,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1500.0,1000.0,1100.0,900.0,1200.0,127.07447097147504,37.57238882939841,02-2216-6122,True
수이비인후과의원,서초구,우면동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,127.0249989226,37.4640568012,02-579-7575,False
수이비인후과의원,마포구,상암동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1100.0,900.0,1200.0,126.8832173847643,37.580140225239745,02-373-5075,False
수이비인후과의원,성동구,성수동1가,의원,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1300.0,1000.0,1100.0,900.0,1200.0,127.04913009282734,37.546918177353575,02-466-0008,True
수이비인후과의원,관악구,신림동,의원,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,1000.0,1100.0,900.0,1200.0,126.93012057839618,37.482402055773186,02-878-4218,True
수이비인후과,성북구,길음동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,127.02878397742,37.61198667089,02-982-7773,False
수자연소아청소년과의원,서초구,방배동,의원,915.0,1815.0,915.0,1815.0,915.0,1815.0,915.0,1815.0,915.0,1815.0,930.0,1300.0,1000.0,1100.0,900.0,1200.0,126.995843440962,37.4848141384662,02-585-7503,True
서울삼성내과의원,동대문구,답십리동,의원,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,800.0,1400.0,900.0,1600.0,830.0,1730.0,127.054926569574,37.5752237850342,02-2243-3338,True
스마일내과의원,강북구,수유동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1500.0,1000.0,1600.0,127.016298558465,37.6421890477822,02-900-3375,False
스마일소아청소년과의원,강동구,명일동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1400.0,1000.0,1500.0,1000.0,1500.0,127.146158111488,37.550156245641,02-428-6246,True
스마일정형외과의원,영등포구,신길동,의원,900.0,1900.0,900.0,2100.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1400.0,1000.0,1500.0,1000.0,1500.0,126.916945928789,37.512493750083,02-833-7779,True
스마트365의원,강서구,방화동,의원,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,126.812196662173,37.5767908662697,02-2662-5556,True
스마트의원,노원구,중계동,의원,1000.0,1930.0,1000.0,2000.0,1000.0,1930.0,1000.0,1930.0,1000.0,1930.0,1000.0,1730.0,1000.0,1730.0,1000.0,1730.0,127.070940893709,37.6467905319279,02-952-8866,True
스카이소아청소년과의원,강남구,역삼동,의원,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1400.0,1800.0,1000.0,1800.0,900.0,1300.0,900.0,1400.0,900.0,1400.0,127.051795589958,37.4978422366894,02-581-7856,False
스타서울이비인후과의원,강서구,염창동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1255.0,900.0,1400.0,900.0,1800.0,126.865471141449,37.5511356670438,02-3663-5630,True
스타이비인후과의원,성북구,종암동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1500.0,900.0,1400.0,900.0,1800.0,127.033955689737,37.6012026108787,02-909-8235,True
노현주산부인과의원,동작구,신대방동,의원,930.0,1930.0,930.0,1830.0,930.0,1830.0,930.0,1300.0,930.0,1830.0,930.0,1330.0,930.0,1630.0,900.0,1500.0,126.924094714271,37.4912751024086,02-6278-7575,True
스페셜이비인후과의원,서초구,반포동,의원,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1900.0,930.0,1430.0,900.0,1400.0,900.0,1800.0,127.022279264454,37.5073785447298,02-545-3636,True
스피크재활의학과의원,송파구,잠실동,의원,900.0,1900.0,900.0,2000.0,900.0,1900.0,900.0,2000.0,900.0,1900.0,900.0,1400.0,1000.0,1700.0,900.0,1800.0,127.08060900572929,37.50670865298499,02-6959-7731,True
시민내과의원,마포구,대흥동,의원,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1900.0,1000.0,1830.0,1000.0,1300.0,1000.0,1700.0,900.0,1800.0,126.94612896077966,37.55617307197107,02-716-2158,True
시원척척의원,중랑구,신내동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,1000.0,1700.0,1000.0,1700.0,127.09495500365372,37.606496941161765,02-3421-0075,True
시원한이비인후과의원,노원구,중계동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1700.0,1000.0,1300.0,127.06814281981386,37.64051646747542,02-971-3631,False
시원한이비인후과의원,강서구,마곡동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,1000.0,1700.0,1000.0,1300.0,126.81865959862763,37.5671125832474,02-2659-9930,True
성모웰니스마취통증의학과의원,중구,태평로2가,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,930.0,1300.0,930.0,1330.0,900.0,1800.0,126.976301955674,37.5636533291181,02-6482-2580,True
시청역성모정형외과의원,중구,서소문동,의원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1900.0,900.0,1300.0,1000.0,1700.0,1000.0,1500.0,126.9742054131248,37.56234761610535,02-776-6600,True
시흥우리들소아청소년과의원,금천구,시흥동,의원,900.0,2000.0,930.0,1800.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1300.0,1000.0,1300.0,1000.0,1900.0,126.90160863233852,37.45301532460487,02-802-0805,True
신경란의원,용산구,보광동,의원,900.0,1800.0,900.0,1800.0,900.0,1230.0,900.0,1800.0,900.0,1800.0,900.0,1230.0,1000.0,1300.0,1000.0,1900.0,126.99691139542102,37.53052936048615,02-795-3495,True
신계원소아청소년과의원,마포구,망원동,의원,900.0,1900.0,900.0,1900.0,900.0,1300.0,900.0,1900.0,900.0,1900.0,900.0,1600.0,1000.0,1300.0,1000.0,1900.0,126.90518109432948,37.55724425276465,02-338-4786,True
신길연세365의원,영등포구,신길동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,126.90542415412348,37.50817819645089,02-834-8275,False
예일치과의원,강북구,미아동,의원,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1400.0,1100.0,1700.0,900.0,1800.0,127.03425475439197,37.61353040557182,02-989-9875,True
신내성모정형외과의원,중랑구,신내동,의원,840.0,1850.0,840.0,1850.0,840.0,1850.0,840.0,1850.0,840.0,1850.0,840.0,1450.0,840.0,1250.0,900.0,1700.0,127.09556113012978,37.606681154771785,02-3423-0129,True
신내우리의원,중랑구,신내동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,840.0,1250.0,900.0,1700.0,127.09590837274104,37.60369409220731,02-435-2277,False
신내탑의원,중랑구,신내동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,840.0,1250.0,900.0,1700.0,127.09657593318288,37.60761510520682,02-3423-3991,True
신내푸른정형외과의원,중랑구,신내동,의원,900.0,2000.0,900.0,1900.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,1400.0,900.0,1400.0,900.0,1700.0,127.095110195174,37.60554852465,02-433-8875,True
신누가의원,중랑구,중화동,의원,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1730.0,830.0,1230.0,1030.0,2000.0,930.0,1300.0,127.075614516876,37.5973242398519,02-434-5281,True
신대방가정의학과의원,동작구,신대방동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1200.0,900.0,1200.0,900.0,1200.0,126.912651328736,37.487919502778,02-844-3655,False
신동아의원,도봉구,방학동,의원,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1300.0,930.0,1830.0,900.0,1300.0,900.0,1300.0,930.0,1830.0,127.027032098141,37.6601767333194,02-954-1857,True
신동진이비인후과의원,중구,신당동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1300.0,930.0,1830.0,127.015221910501,37.5631407978482,02-2235-5100,True
센트럴치과의원,중구,신당동,의원,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,2000.0,930.0,1830.0,930.0,1400.0,1000.0,1400.0,1000.0,1400.0,127.020335215801,37.5654435149501,02-2233-2879,True
신림신경과의원,관악구,신림동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1230.0,900.0,1800.0,900.0,1300.0,1000.0,1400.0,1000.0,1400.0,126.929948753311,37.4855072234589,02-875-9992,False
신목제일의원,구로구,고척동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,800.0,1700.0,800.0,1700.0,126.862872137151,37.507328802606,02-2615-7010,False
신민호내과의원,강서구,염창동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1300.0,900.0,1900.0,900.0,1600.0,800.0,1700.0,800.0,1700.0,126.871949201268,37.5506405637499,02-3663-7533,True
신사의원,서초구,잠원동,의원,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,800.0,1700.0,800.0,1700.0,127.018085722103,37.5172523754891,02-593-4515,False
신사중앙의원,은평구,신사동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,830.0,1800.0,900.0,1300.0,930.0,1500.0,930.0,1500.0,126.909632474095,37.5963568335906,02-3151-0911,False
신사호이비인후과의원,은평구,신사동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1700.0,930.0,1500.0,126.908847730617,37.5968399722455,02-373-9119,False
신앤윤가정의학과의원,강서구,염창동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,900.0,1400.0,900.0,1400.0,126.87749149854888,37.54926296175133,02-2063-8275,True
신앤정소아청소년과의원,양천구,신정동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,930.0,1300.0,900.0,1400.0,930.0,1500.0,126.83282424606,37.5126074619051,02-2684-7582,False
신우내과의원,중랑구,상봉동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,930.0,1700.0,930.0,1700.0,127.094137536933,37.5987491711759,02-491-0768,False
신웅식내과의원,노원구,공릉동,의원,900.0,1800.0,900.0,1800.0,900.0,1230.0,900.0,1800.0,900.0,1800.0,900.0,1230.0,930.0,1700.0,930.0,1700.0,127.074051281843,37.6233663373204,02-949-0233,False
신윤내과의원,동작구,상도동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1300.0,930.0,1700.0,1000.0,1800.0,126.938830531935,37.5049579530291,02-817-5411,False
신윤혜소아청소년과의원,강서구,화곡동,의원,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1900.0,830.0,1400.0,900.0,1300.0,1000.0,1800.0,126.836797010994,37.5471644988463,02-2693-6000,True
신익순소아청소년과의원,은평구,증산동,의원,800.0,1900.0,800.0,1900.0,800.0,1300.0,800.0,1900.0,800.0,1900.0,900.0,1300.0,900.0,1300.0,1000.0,1800.0,126.900673276716,37.5794195375926,02-375-1175,True
신일가정의원,중랑구,면목동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1400.0,930.0,1300.0,1000.0,1800.0,127.086982040873,37.5893716462554,02-438-0675,True
신일외과의원,광진구,자양동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,0.0,2400.0,1000.0,1800.0,127.067220750825,37.5357512122917,02-466-8397,True
김학원소아과의원,송파구,거여동,의원,900.0,1800.0,900.0,1800.0,900.0,1830.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,930.0,1830.0,127.144647366813,37.4928541028823,02-407-0775,True
신재호내과의원,동대문구,이문동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,0.0,2400.0,1000.0,1800.0,127.061285484092,37.5986360136685,02-968-6906,True
신정박내과의원,양천구,신정동,의원,900.0,1820.0,900.0,1820.0,900.0,1820.0,900.0,1200.0,900.0,1820.0,900.0,1300.0,900.0,1500.0,900.0,1500.0,126.853402511465,37.5198467815801,02-2644-1415,True
신중호내과의원,종로구,창신동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,830.0,1230.0,900.0,1200.0,900.0,1200.0,127.015447248423,37.5756822655479,02-3673-3060,True
신창기독의원,도봉구,창동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,830.0,1230.0,900.0,1800.0,900.0,1800.0,127.041677456465,37.6340378181849,02-907-9234,False
신창내과의원,도봉구,창동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,900.0,1800.0,900.0,1800.0,127.037873803493,37.6387789133208,02-993-5336,False
신창내과의원,영등포구,대림동,의원,930.0,1700.0,930.0,1700.0,930.0,1700.0,930.0,1700.0,930.0,1700.0,930.0,1200.0,900.0,1900.0,930.0,1500.0,126.900848935804,37.4904886003635,02-833-1228,True
신촌바른내과의원,마포구,대흥동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1500.0,930.0,1700.0,126.944997098851,37.5564869081135,02-3275-1003,False
신촌연세퀸산부인과의원,마포구,신수동,의원,930.0,1930.0,930.0,1900.0,930.0,1930.0,930.0,1900.0,930.0,1930.0,930.0,1600.0,900.0,1500.0,930.0,1300.0,126.933505377894,37.5523436143303,02-718-0055,True
신통가정의학과의원,동작구,사당동,의원,1000.0,1930.0,1000.0,1930.0,1000.0,1930.0,1000.0,1930.0,930.0,1830.0,930.0,1400.0,1000.0,1830.0,1000.0,1830.0,126.98098982437,37.4787269077024,02-3487-3480,True
방이서울치과의원,송파구,방이동,의원,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1830.0,1000.0,1400.0,0.0,2400.0,830.0,2400.0,127.113576572421,37.511949006372,02-412-2288,True
신통방통의원,구로구,고척동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1300.0,1000.0,1830.0,1000.0,1830.0,126.849970000444,37.5026751992737,02-2611-9100,True
신필진소아청소년과의원,중랑구,신내동,의원,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,830.0,1830.0,900.0,1600.0,1000.0,1500.0,1000.0,1830.0,127.092668240549,37.6163496295774,02-3421-1822,True
신혜성의원,광진구,중곡동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,930.0,1730.0,930.0,1730.0,127.081423198791,37.5665332523101,02-3409-5511,True
심재학정형외과의원,양천구,신월동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1430.0,1000.0,1500.0,1000.0,1500.0,126.837894790687,37.5301745162122,02-2690-9090,True
가족건강의원,도봉구,쌍문동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,1000.0,1530.0,930.0,1400.0,127.032521026155,37.6581564278861,02-903-1556,False
씨앤씨정형외과의원,서초구,방배동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,1000.0,1400.0,930.0,1200.0,126.99639892470766,37.48273102481177,02-523-7733,False
씨에프(CF)의원,관악구,봉천동,의원,1000.0,1900.0,1000.0,2100.0,1000.0,1900.0,1000.0,2100.0,930.0,1830.0,900.0,1430.0,1000.0,1400.0,930.0,1200.0,126.947348941536,37.4866845060437,02-871-7678,True
아가사랑소아청소년과의원,광진구,중곡동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1330.0,930.0,1230.0,930.0,1230.0,127.080089783997,37.5640684989952,02-465-9813,True
아나파의원,중랑구,면목동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,930.0,1230.0,1000.0,1500.0,127.07745911725269,37.59140010591498,02-496-7579,False
아나파의원,영등포구,대림동,의원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1200.0,930.0,1230.0,1000.0,1500.0,126.907497776724,37.490841691979,02-848-7588,False
아너스티성형외과의원,서초구,잠원동,의원,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1900.0,1000.0,1700.0,900.0,1500.0,900.0,1600.0,127.01935615691548,37.51431427137248,02-542-3777,True
아니다웰니스의원,강남구,논현동,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,1000.0,1700.0,900.0,1500.0,900.0,1600.0,127.042600728265,37.5127063701388,02-3445-9992,False
아란태산부인과의원,영등포구,문래동3가,의원,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,930.0,1230.0,900.0,1600.0,930.0,1230.0,930.0,1230.0,126.8897849911408,37.51971325278335,02-2630-6600,True
아람소아청소년과의원,동대문구,답십리동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1830.0,900.0,1300.0,930.0,1230.0,930.0,1230.0,127.0555722933856,37.57249833420822,02-2242-3388,True
아람연세소아청소년과의원,영등포구,양평동5가,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,930.0,1230.0,930.0,1230.0,126.89354311199628,37.537813311417274,02-2635-5275,False
아름다운신경과의원,강동구,명일동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,1000.0,1700.0,1000.0,1700.0,127.14383195981677,37.548074373182025,02-472-7168,True
아리랑가정의원,성북구,돈암동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1330.0,900.0,1500.0,900.0,1500.0,127.013617460956,37.6007699096006,02-922-5575,True
아마존여성의원,마포구,도화동,의원,1000.0,2030.0,1000.0,2000.0,1000.0,2000.0,1000.0,2000.0,1000.0,2030.0,900.0,1400.0,900.0,1500.0,900.0,1400.0,126.951330656363,37.5424670890441,02-716-7600,True
아산드림의원,성북구,장위동,의원,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1830.0,930.0,1300.0,900.0,1300.0,900.0,1300.0,127.048397229405,37.6229473543321,02-916-9300,True
아산미즈영상의학과의원,송파구,풍납동,의원,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,900.0,1400.0,900.0,1300.0,900.0,1300.0,127.114931882654,37.5264402340298,02-474-5599,False
아산바른내과의원,강서구,화곡동,의원,800.0,1830.0,800.0,1830.0,1800.0,1830.0,800.0,1830.0,800.0,1830.0,800.0,1300.0,900.0,1300.0,900.0,1300.0,126.86329956454766,37.53348395425103,02-2088-5050,True
아산바른내과의원,동작구,상도동,의원,900.0,1745.0,900.0,1745.0,900.0,1245.0,900.0,1745.0,900.0,1745.0,900.0,1345.0,900.0,1300.0,900.0,1300.0,126.952667931095,37.4978381627265,02-817-0028,False
아산박내과의원,광진구,자양동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,900.0,1300.0,900.0,1300.0,127.065399264524,37.5358945030393,02-464-1960,True
아산사랑의원,송파구,풍납동,의원,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1800.0,900.0,1800.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,127.118097938009,37.5334814070449,02-485-8508,False
아산선가정의학과의원,송파구,거여동,의원,930.0,2000.0,930.0,1830.0,930.0,1830.0,830.0,1800.0,930.0,2000.0,930.0,1300.0,900.0,1300.0,900.0,1300.0,127.145700119839,37.4954101353037,02-400-7582,True
아산센트럴의원,중랑구,면목동,의원,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,900.0,1300.0,900.0,1300.0,127.080375944624,37.5818929536315,02-2207-7770,True
아산수내과의원,강동구,천호동,의원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1300.0,900.0,1700.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,127.124570380688,37.540169637196,02-476-7114,False
아산유내과의원,광진구,능동,의원,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,900.0,1700.0,1000.0,1400.0,900.0,1300.0,127.079702343554,37.5567339275651,02-457-9589,False
아산정형외과의원,영등포구,신길동,의원,900.0,1800.0,900.0,1800.0,900.0,1500.0,900.0,1800.0,930.0,1800.0,900.0,1400.0,1000.0,1400.0,900.0,1300.0,126.905419023732,37.5082105383995,02-848-1075,False
아산진내과의원,영등포구,당산동5가,의원,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1800.0,900.0,1400.0,1000.0,1600.0,900.0,1400.0,126.9011604368784,37.53373434670995,02-2633-3900,False
아산키즈소아청소년과의원,영등포구,신길동,의원,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1300.0,900.0,1300.0,126.911013971197,37.503334772579095,02-833-5275,True
아산키즈소아청소년과의원,성동구,금호동2가,의원,900.0,1900.0,900.0,1900.0,900.0,1300.0,900.0,1900.0,900.0,1900.0,900.0,1400.0,1000.0,1400.0,900.0,1300.0,127.024628226229,37.5523702207152,02-2236-3375,True
아산키즈소아청소년과의원,성북구,종암동,의원,830.0,1800.0,830.0,1800.0,830.0,1800.0,830.0,1300.0,830.0,1800.0,800.0,1300.0,900.0,1300.0,1000.0,1500.0,127.033955689737,37.6012026108787,070-7728-3995,False
아산한빛의원,광진구,자양동,의원,830.0,1820.0,830.0,1820.0,830.0,1300.0,830.0,1820.0,830.0,1820.0,930.0,1330.0,900.0,1300.0,900.0,1300.0,127.086094632545,37.5319692640161,02-444-5764,True
아산현소아청소년과의원,송파구,거여동,의원,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1830.0,900.0,1830.0,900.0,1400.0,900.0,1300.0,900.0,1300.0,127.143590440057,37.489911262721,02-406-0407,True
아셈내과의원,강남구,삼성동,의원,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1700.0,900.0,1300.0,900.0,1300.0,127.060483947525,37.5147215906749,02-551-8275,True
행복숲가정의학과의원,강서구,마곡동,의원,900.0,1830.0,900.0,1830.0,900.0,1300.0,900.0,1830.0,900.0,1830.0,900.0,1300.0,930.0,2200.0,930.0,2200.0,126.825960812712,37.5680581740122,02-2659-6117,True
아이들세상의원,서초구,서초동,의원,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1800.0,930.0,1200.0,1000.0,1600.0,1000.0,1500.0,127.01208938939,37.4880475817861,02-581-7536,False
미래신경과의원,성동구,행당동,의원,930.0,1830.0,930.0,1830.0,930.0,1300.0,930.0,1830.0,930.0,1830.0,930.0,1300.0,1000.0,1800.0,1000.0,1800.0,127.03517100308962,37.56051617196956,02-3395-8275,True
아이랑소아청소년과의원,관악구,신림동,의원,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,900.0,1700.0,900.0,1300.0,900.0,1230.0,126.918544974873,37.4737298508968,02-868-8683,True
아이레그플러스의원,서초구,잠원동,의원,1000.0,1800.0,1000.0,1800.0,1400.0,2100.0,1000.0,1800.0,1000.0,1800.0,900.0,1700.0,900.0,1300.0,1000.0,1800.0,127.016757132866,37.5150234884265,02-516-7579,True
